,title,company,location,salary,summary
42,Junior Data Scientist - London,Echobox,London,,"Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.You will assist in the customisation of the product for new customers and trial data…"
43,Data Scientist,Vitality,London EC3V,,Leverage new open data sources and extract further value from existing company data.We’re looking for a data scientist to work on innovative AI applications…
44,Data Scientist,YOOX NET-A-PORTER GROUP,London,,"Work with stakeholders throughout the business to encourage a data-driven approach through the delivery of automated data products and accessible, actionable…"
45,International Analytics Data Scientist,Kraft Heinz Company,London,,"The data scientist will be responsible for understanding business problems, building statistical models/machine learning algorithms and continuously improving…"
46,Data Scientist,Templeton and Partners,London,£450 - £500 a day,"Templeton & Partners is looking for Data Scientist to start on project in London, UK.Rate: 450 - 500 GBP per day."
47,Data Science Internship,King.com,London,,BPU stands for Business Performance Units and they are data driven teams who support the day to day functioning of our titles.
48,Data Scientist,The Institute of Cancer Research,Sutton,"£43,000 a year",National cancer registration and mortality records are obtained by record linkage to NHS data systems.Further material and information has been collected on…
49,"Senior Data Scientist, Operations",Monzo,London,"£49,000 - £80,000 a year","90% of everyday data-driven decisions are covered by self-serve analytics through Looker, which gives data scientists the head space to focus on more impactful…"
50,Data Scientist,NatWest Group,London,,"Experience with data science software, database languages, big data technologies and cloud environments.You'll have experience with Python and Scala based data…"
51,Junior Data Scientist,Nesta,London,"£31,000 - £41,000 a year","These data scientists will be at the forefront of designing, scoping and delivering data science projects that deliver impact in these areas."
52,Data Scientist - Machine Learning,Harnham,London,£500 - £550 a day,"Previous experience working as a Data Scientist in e-commerce is highly valuable as you will be dealing with data sources such as customer data, product data…"
53,Data Scientist,Tripledot Studios,London,,Develop and iterate on cutting-edge data pipelines and data models in production to ensure data integrity and efficiency.
54,"Senior Data Scientist, algorithm development",Expert Employment,London,,Data Scientist required for a hands-on senior role analysing data and developing algorithms that will take real world instrumentation data and apply Machine…
55,Data Scientist,CitizenMe,London,,Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
56,Commercial Data Scientist,Drax Group,London,,"This will mean using big data and data science, and the rest of your technical data skills and knowledge, to develop and implement appropriate models and…"
57,Privacy Data Scientist,Vodafone,London,,"Work closely with our data governance programme and help manage our core data models, data set mapping and data management tools;"
58,Front End Developer - AM Research Data Science,"JPMorgan Chase Bank, N.A.",London,,"Research Notes provides a platform for the authoring and distribution of internal analyst research reports for company, manager, fund and other qualitative…"
59,Data Scientist,RELX Group,London,,"Establish, maintain, and tune customer risk models leveraging thousands of data points from the ThreatMetrix Digital Identity Network and data feds from our…"
60,Senior Data Scientist,Elder,London,,"Proven experience drawing insights from real-world data sets using SQL and offline analysis tools.Experience using scripting tools like Python, R or similar…"
61,Data Scientist,Marks & Spencer,Paddington,,"Expert in mining large & complex data sets - both structured and unstructured data and including (but not limited to) efficient extraction of data,…"
62,Data Scientist - Farm Heroes Saga,King.com,London,,"Cloud- based big data solutions such as Redshift, BigQuery;Champion data within the team, and share your knowledge with the wider Data Science community."
63,Data Scientist – Food Security and Climate Change,Rothamsted Research,Harpenden AL5 2JQ,"£31,350 - £32,315 a year",This post will contribute to the project through two distinct components: (1) an exploration of Rothamsted long-term datasets to look for hidden interactions…
64,Data Scientist,BGL Group,London,,Innovate and drive improvements to Compare the Market data by identifying opportunities to improve existing data structures and collect new data sources.
65,"Data Scientist Degree Apprenticeship, GSK House (Brentford),...",GSK,Brentford,"£17,000 a year","Extract, combine and manipulate data.Use a range of machine learning and statistical analytical tools and techniques to gain insight into our data."
66,Statistician / Statistical Data Scientist,Rothamsted Research,Harpenden AL5 2JQ,"£31,350 - £32,315 a year","The post-holder will be an applied statistician or statistical data scientist, with training and experience in traditional statistical methods, modern data…"
67,HR Data Scientist,Capgemini,London,,"Our vision is to provide insights that support data-driven decisions by using unique, innovative solutions that elevate our customers from being reactive to…"
68,Data Science Internship,Amazon Dev Centre (London) Ltd,London,,"Experience with big data: processing, filtering, and presenting large quantities (100K to Millions of rows) of data."
69,Data Scientist,Amazon Digital UK Limited,London,,"Experience with data scripting languages (e.g. SQL, Python, R etc.).Excellent verbal/written communication & data presentation skills, including an ability to…"
70,DATA SCIENCE CONSULTANT LONDON,managementsolutions,London,,"You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …"
71,Data Scientist,umlaut AG,London,,"Familiarity with data management tools and version control systems like Git.Research, design and implement innovative telecommunication metrics and analytics…"
72,Data Scientist,Dentsu Aegis Network,London,,"Have some experience with Spark, Docker, Kubernetes or any other job scheduling/data pipeline tools;Working on an analytics platform to extract insights from…"
73,Data Scientist (Insights),Cera Care,London EC1A 2BN,,"5+ years of demonstrated ability in a similar data scientist role.You’ll drive your own development, and will be supported in doing so, ensuring steady…"
74,Data Science Intern (Summer 2021),CrowdStrike,London,,Hands on in your approach to understanding data and learning about new fields.Experience in writing Python code to pre-process and analyze data to generate…
75,"Data Scientist, Product",Facebook,London,,"Building key data sets to empower operational and exploratory analysis.Apply your expertise in quantitative analysis, data mining, and the presentation of data…"
76,Senior Statistical Data Scientist - across the GSS,UK Government - Government Statistical Service,London,"£34,090 a year","Additional examples might include supervised / unsupervised machine learning for complex data sets, or Natural Language Processing to structure data for…"
77,Data Scientist,Element Materials Technology,London SW1W 0EN,,"Identify opportunities for improvement through data, and champion the usage of data to derive insights and drive action across the business."
78,"Data Scientist (Contractor) - Python, R, SQL",Harnham,London,£450 - £550 a day,"As a contractor you would be helping the client build analytics tool, working on machine learning and optimisation models and liaising directly on the company's…"
79,Real World Data (RWD) Scientist - Contract - 100% Remote wor...,ADV Talent Partners,London,,Liaising with RWE Methodologists concerning study design and RWD Specialists concerning choice of data source on an as needed basis.
80,"Data Scientist, Causal Inference",Deliveroo,London,,Our team members use technical skills from the whole spectrum of data science: building analytical tools; informing decision making at all levels of the…
81,Data Analytics Intern,G-Research,London,,"Use a range of analytical and statistical techniques to answer questions using data.Use analytical skills and business acumen to source, analyse and visualise…"
82,Data Scientist,BAE Systems Applied Intelligence,London,,"Has awareness of User Centric Design (UCD), data privacy & data security guidelines.Interprets and translates object and data models into appropriate data…"
83,Junior Data Scientist,Neilson Financial Services,Slough,,"You will take project briefs from Head of BI and conduct robust analyses that follow a structured process: data extraction, data validation, data exploration,…"
84,"Senior Data Scientist, Customer Care, Forecasting",Deliveroo,London,,Our team members use technical skills from the whole spectrum of data science: building analytical tools; informing decision making at all levels of the…
85,Graduate- Data Science- London,Expedia Group,London EC1V 1NS,,"; implementation experience of MapReduce techniques, in-memory data processing, etc.You will use and manipulate large data sets to design algorithmic and…"
86,"DATA SCIENTIST, CGM",Chubb,London,,"We are looking for a data scientist to improve all aspects of how we handle, manipulate, analyse and deliver data.Evaluate new and emerging technologies."
87,Data Scientist,Synamedia,Staines-upon-Thames,,A good knowledge of analytics industry trends and data manipulation techniques.Have a passion for using data to tell stories and help customers solve high…
88,Data Scientist,CKM Analytix,London,,Passion for quantitative problem solving and developing data driven solutions to difficult business questions.
89,Data Scientist,Nesta,London,"£38,000 - £50,000 a year","These data scientists will be at the forefront of designing, scoping and delivering data science projects that deliver impact in these areas."
90,Data Scientist,Vyn SmartVideoNotes,London,,"Good knowledge of data structures, data modelling and software architecture.This data is stored, analysed and labelled on the AWS cloud."
91,Data Scientist - Consulting Practice,PA Consulting Group,London,,We are looking for data architects who know how the future data platforms look like and know how they interact with existing legacy clients’ architecture.
92,Grade 7 - Lead Data Scientist,UK Government - Cabinet Office,London,"£54,700 - £60,635 a year","Using your experience and expertise you will have the opportunity to shape and provide technical leadership across the whole data pipeline, from data integrity…"
